AAL
AAP
AAPL
ABBV
ABC
ABT
ACN
ADBE
ADSK
AFL
ALK
ALL
ALXN
AMAT
AMD
AMGN
AMZN
ANTM
ATVI
AXP
AZO
BA
BAC
BBY
BIIB
BKR
BLK
BMY
BRK.B
BSX
C
CAG
CAH
CARR
CAT
CCL
CI
CL
CLX
CMCSA
CMG
CMI
CNC
COF
CPB
CRM
CSCO
CTAS
CTL
CVS
CVX
DAL
DD
DE
DFS
DG
DGX
DHR
DIS
DISH
DLTR
DOW
DPZ
EA
EBAY
ECL
EFX
EMR
EQIX
EXPE
F
FB
FDX
FLIR
FOX
GD
GE
GILD
GIS
GM
GOOG
GOOGL
GPS
GRMN
GS
HAL
HBI
HD
HLT
HOLX
HON
HPE
HRB
HSY
HUM
IBM
ILMN
INTC
INTU
ISRG
JBHT
JNJ
JPM
K
KHC
KMX
KO
KR
KSS
LLY
LMT
LOW
LUV
MA
MAR
MCD
MCHP
MCK
MDLZ
MDT
MET
MGM
MKC
MMM
MNST
MPC
MRK
MS
MSFT
MSI
MU
MYL
NCLH
NFLX
NKE
NOC
NVDA
ORCL
ORLY
PEP
PFE
PG
PGR
PNC
PYPL
QCOM
RCL
REGN
ROST
RTX
SBUX
SCHW
SHW
SLB
SWK
SYK
SYY
T
TAP
TGT
TJX
TMO
TMUS
TSN
TXN
UAA
UAL
ULTA
UNH
UNP
UPS
V
VZ
WBA
WDC
WFC
WHR
WM
WMT
XOM
XRX
PLNT
MRNA
WORK
ZM
TSLA
TSLA
TSLA
NKE
BMWYY
UBER
VWAPY
SBUX
NSRGY
ADDYY
SNE
JNJ
MAR
ABNB
PYPL
BKNG
BKNG
W
EXPE
SPOT
WDAY
LYFT
GDDY
ZG
GRPN
MTCH
MTCH
MTCH
WISH
SNAP
DBX
SHOP
SFIX
TRIP
ZNGA
GRUB
PINS
YELP
SWBI
GME
AMC
